名称,代码,最新价,涨跌幅,交易量,时间
易方达中证香港证券投资ETF,513090,2.335,+0.13%,9.23B,29/08
Huatai-PB CSOP HS Tech Id(QDII),513130,0.760,+0.66%,8.76B,29/08
ChinaAMC Hangsheng Tech (QDII),513180,0.773,+0.78%,8.67B,29/08
华夏恒生互联网科技业ETF(QDII),513330,0.530,+0.57%,7.95B,29/08
GF CSI Hong Kong Brand Nm Drug(QDII),513120,1.482,+4.07%,7.85B,29/08
ChinaAMC CSI A500,512050,1.128,+0.98%,5.54B,29/08
华夏科创50场内联接基金,588000,1.412,-1.47%,5.36B,29/08
博时恒生医疗保健QDII-ETF,513060,0.706,+3.52%,4.35B,29/08
港股通互联网ETF,159792,0.963,+0.52%,3.72B,29/08
国泰中证全指证券公司,512880,1.328,+0.15%,3.70B,29/08
大成恒生科技ETF（QDII）,159740,0.759,+0.53%,3.65B,29/08
鹏华中证酒,512690,0.625,+2.63%,3.24B,29/08
华宝中证全指证券公司,512000,0.634,+0.16%,3.24B,29/08
Huatai-PB CSI A500,563360,1.198,+0.93%,3.15B,29/08
Harvest SSE STAR Chip Index Exchange Traded Fund,588200,2.196,-2.66%,2.73B,29/08
IGW CSI HK Connect Technology,513980,0.797,+1.27%,2.67B,29/08
易方达创业板,159915,2.865,+2.10%,2.48B,29/08
华宝中证医疗,512170,0.387,+1.31%,2.40B,29/08
华安创业板50ETF,159949,1.342,+2.52%,2.36B,29/08
易方达沪深300医药卫生,512010,0.431,+2.86%,2.22B,29/08
