名称,代码,最新价,涨跌幅,交易量,时间
Huatai-PB CSOP HS Tech Id(QDII),513130,0.770,+1.32%,5.94B,11:29:59
ChinaAMC Hangsheng Tech (QDII),513180,0.783,+1.29%,5.76B,11:29:59
华夏恒生互联网科技业ETF(QDII),513330,0.540,+1.89%,5.37B,11:29:58
GF CSI Hong Kong Brand Nm Drug(QDII),513120,1.528,+3.10%,5.17B,11:29:59
ChinaAMC CSI A500,512050,1.125,-0.27%,3.71B,11:29:59
港股通互联网ETF,159792,0.986,+2.39%,3.65B,11:29:57
博时恒生医疗保健QDII-ETF,513060,0.727,+2.98%,3.31B,11:29:59
易方达中证香港证券投资ETF,513090,2.312,-0.99%,2.96B,11:29:59
华夏科创50场内联接基金,588000,1.423,+0.78%,2.94B,11:29:59
Huatai-PB CSI A500,563360,1.196,-0.17%,2.36B,11:29:56
大成恒生科技ETF（QDII）,159740,0.769,+1.32%,2.35B,11:30:00
华宝中证医疗,512170,0.391,+1.03%,1.99B,11:29:57
易方达中证海外中国互联网50 QDII,513050,1.54,+3.64%,1.74B,11:29:59
鹏华中证酒,512690,0.618,-1.12%,1.71B,11:29:59
华宝中证全指证券公司,512000,0.626,-1.26%,1.61B,11:29:59
国泰中证全指证券公司,512880,1.310,-1.36%,1.60B,11:29:59
易方达沪深300医药卫生,512010,0.440,+2.09%,1.59B,11:29:58
鹏华中证细分化工产业ETF,159870,0.692,+0.14%,1.55B,11:29:57
Harvest SSE STAR Chip Index Exchange Traded Fund,588200,2.218,+1.00%,1.44B,11:29:59
易方达创业板,159915,2.880,+0.52%,1.29B,11:30:00
国联安中证全指半导体产品与设备,512480,1.394,+1.01%,1.21B,11:29:59
华夏恒生香港上市生物科技ETF,159892,0.948,+3.27%,1.20B,11:30:00
Fullgoal CSI Natnl Defense Ind Lead,512710,0.738,-1.86%,1.19B,11:29:58
E Fund Hangsheng Technology(QDII),513010,0.802,+1.39%,1.15B,11:29:57
Huatai-PB CSI KRX China -Korea Semiconductor(QDII),513310,1.945,-0.41%,1.09B,11:29:59
华安创业板50ETF,159949,1.350,+0.60%,1.06B,11:30:00
IGW CSI HK Connect Technology,513980,0.809,+1.51%,962.28M,11:29:58
银华中证创新药产业,159992,0.985,+3.36%,897.91M,11:30:00
广发国证新能源车电池ETF,159755,0.844,-0.12%,839.95M,11:30:00
易方达中证人工智能主题ETF,159819,1.475,+1.10%,830.47M,11:30:00
Bosera SSE STAR AI,588790,0.850,-0.70%,815.81M,11:29:59
ChinaAMC CSI Robot,562500,1.020,-0.39%,768.48M,11:29:58
华宝中证金融科技主题ETF,159851,1.003,-0.20%,767.43M,11:30:00
国泰中证军工,512660,1.289,-1.68%,748.83M,11:29:56
华宝中证银行,512800,0.827,-1.08%,742.47M,11:29:59
易方达科创板50场内联接基金,588080,1.391,+0.72%,734.40M,11:29:59
GF CSI A500,563800,1.129,-0.09%,727.62M,11:29:47
Bosera CSI Convert&Exch Bd,511380,13.189,-0.37%,722.65M,11:29:59
华夏上证50,510050,3.10,-0.48%,672.47M,11:29:57
纳指科技ETF,159509,1.802,-2.75%,666.50M,11:30:00
鹏华国证半导体芯片ETF,159813,1.069,+0.75%,651.28M,11:30:00
Huatai-PB CSI Photovoltaic Industry,515790,0.826,-0.60%,636.36M,11:29:59
GF CSI Brand Name Drug Industry,515120,0.737,+3.22%,598.99M,11:29:55
华泰柏瑞沪深300,510300,4.583,-0.39%,584.95M,11:29:59
GF Hang Seng TECH (QDII),513380,0.707,+1.29%,578.71M,11:29:53
华安易富黄金,518880,7.624,+1.84%,551.76M,11:29:57
Hwabao WP CSI-HK Connect Internet,513770,0.601,+2.04%,546.16M,11:29:59
GF SSE STAR AI,588760,0.803,-0.86%,531.10M,11:29:59
广发中证海外中国互联网30（QDII-ETF）,159605,1.141,+2.70%,530.17M,11:30:00
博时恒生科技ETF（QDII）,159742,0.788,+1.29%,516.59M,11:30:00
港股通科技30ETF,159636,1.451,+3.13%,511.52M,11:30:00
国泰中证全指通信设备,515880,2.632,+3.09%,510.79M,11:29:59
华夏国证半导体芯片ETF,159995,1.670,+0.91%,491.30M,11:30:00
