symbol,name,current_price,quantity,allocation,status
300857.SZ,协创数据,163.43,1529,249884.46,SUCCESS
600487.SS,亨通光电,22.9,10917,249999.3,SUCCESS
300469.SZ,信息发展,86.6,2886,249927.6,SUCCESS
300394.SZ,天孚通信,187.98,1329,249825.41,SUCCESS
002236.SZ,大华股份,19.38,12899,249982.61,SUCCESS
002402.SZ,和而泰,45.61,5481,249988.41,SUCCESS
300620.SZ,光库科技,125.34,1994,249927.95,SUCCESS
603083.SS,剑桥科技,112.02,2231,249916.61,SUCCESS
688502.SS,茂莱光学,460.1,543,249834.3,SUCCESS
300803.SZ,指南针,153.4,1629,249888.59,SUCCESS
688347.SS,华虹公司,83.0,3012,249996.0,SUCCESS
688205.SS,德科立,154.0,1623,249942.0,SUCCESS
301309.SZ,德明利,29.88,8366,249976.07,SUCCESS
600410.SS,华胜天成,22.25,11235,249978.75,SUCCESS
002768.SZ,国恩股份,48.01,5207,249988.06,SUCCESS
600143.SS,金发科技,21.67,11536,249985.12,SUCCESS
002683.SZ,广东宏大,44.87,5571,249970.76,SUCCESS
002549.SZ,凯美特气,20.76,12042,249991.92,SUCCESS
002226.SZ,江南化工,6.8,36764,249995.21,SUCCESS
300539.SZ,横河精密,40.4,6188,249995.21,SUCCESS
605488.SS,福莱新材,36.73,6806,249984.38,SUCCESS
601958.SS,金钼股份,14.83,16857,249989.31,SUCCESS
605499.SS,东鹏饮料,299.34,835,249948.9,SUCCESS
000568.SZ,泸州老窖,134.85,1853,249877.06,SUCCESS
300972.SZ,万辰集团,171.55,1457,249948.35,SUCCESS
300918.SZ,南山智尚,23.28,10738,249980.65,SUCCESS
600887.SS,伊利股份,27.7,9025,249992.51,SUCCESS
000858.SZ,五粮液,124.08,2014,249897.12,SUCCESS
601579.SS,会稽山,22.08,11322,249989.76,SUCCESS
601717.SS,中创智领,24.26,10305,249999.3,SUCCESS
002008.SZ,大族激光,41.26,6059,249994.33,SUCCESS
000988.SZ,华工科技,91.12,2743,249942.17,SUCCESS
002158.SZ,汉钟精机,28.18,8871,249984.78,SUCCESS
603757.SS,大元泵业,51.78,4828,249993.83,SUCCESS
688506.SS,百利天恒,374.91,666,249690.06,SUCCESS
603301.SS,振德医疗,39.95,6257,249967.15,SUCCESS
300049.SZ,福瑞股份,80.7,3097,249927.89,SUCCESS
603259.SS,药明康德,108.75,2298,249907.5,SUCCESS
002048.SZ,宁波华翔,34.04,7344,249989.77,SUCCESS
601689.SS,拓普集团,74.71,3346,249979.66,SUCCESS
