名称,代码,最新价,涨跌幅,交易量,时间
Huatai-PB CSOP HS Tech Id(QDII),513130,0.769,+1.18%,6.62B,13:25:52
ChinaAMC Hangsheng Tech (QDII),513180,0.783,+1.29%,6.47B,13:25:49
华夏恒生互联网科技业ETF(QDII),513330,0.539,+1.70%,6.03B,13:25:50
GF CSI Hong Kong Brand Nm Drug(QDII),513120,1.530,+3.24%,5.84B,13:25:51
ChinaAMC CSI A500,512050,1.130,+0.18%,4.19B,13:25:37
港股通互联网ETF,159792,0.984,+2.18%,3.90B,13:25:48
博时恒生医疗保健QDII-ETF,513060,0.728,+3.12%,3.76B,13:25:49
易方达中证香港证券投资ETF,513090,2.306,-1.24%,3.45B,13:25:49
华夏科创50场内联接基金,588000,1.420,+0.57%,3.19B,13:25:51
Huatai-PB CSI A500,563360,1.200,+0.17%,2.74B,13:25:38
大成恒生科技ETF（QDII）,159740,0.770,+1.45%,2.56B,13:25:51
华宝中证医疗,512170,0.393,+1.55%,2.18B,13:25:50
易方达中证海外中国互联网50 QDII,513050,1.54,+3.84%,1.88B,13:25:48
鹏华中证酒,512690,0.618,-1.12%,1.86B,13:25:51
易方达沪深300医药卫生,512010,0.443,+2.78%,1.82B,13:25:48
华宝中证全指证券公司,512000,0.627,-1.10%,1.80B,13:25:52
国泰中证全指证券公司,512880,1.311,-1.28%,1.75B,13:25:50
鹏华中证细分化工产业ETF,159870,0.693,+0.29%,1.67B,13:25:51
Harvest SSE STAR Chip Index Exchange Traded Fund,588200,2.209,+0.59%,1.52B,13:25:50
Fullgoal CSI Natnl Defense Ind Lead,512710,0.748,-0.53%,1.51B,13:25:49
易方达创业板,159915,2.908,+1.50%,1.46B,13:25:54
华夏恒生香港上市生物科技ETF,159892,0.948,+3.27%,1.40B,13:25:51
国联安中证全指半导体产品与设备,512480,1.390,+0.72%,1.31B,13:25:51
E Fund Hangsheng Technology(QDII),513010,0.802,+1.39%,1.30B,13:25:48
华安创业板50ETF,159949,1.366,+1.79%,1.23B,13:25:51
Huatai-PB CSI KRX China -Korea Semiconductor(QDII),513310,1.945,-0.41%,1.22B,13:25:50
IGW CSI HK Connect Technology,513980,0.809,+1.51%,1.07B,13:25:38
银华中证创新药产业,159992,0.991,+3.99%,1.01B,13:25:51
华宝中证银行,512800,0.826,-1.20%,940.53M,13:25:48
易方达中证人工智能主题ETF,159819,1.491,+2.19%,915.18M,13:25:51
广发国证新能源车电池ETF,159755,0.848,+0.35%,890.31M,13:25:48
纳指科技ETF,159509,1.797,-3.02%,887.12M,13:25:51
Bosera SSE STAR AI,588790,0.850,-0.70%,876.52M,13:25:49
Bosera CSI Convert&Exch Bd,511380,13.163,-0.57%,853.05M,13:25:51
国泰中证军工,512660,1.301,-0.76%,845.57M,13:25:52
ChinaAMC CSI Robot,562500,1.020,-0.39%,843.46M,13:25:49
华宝中证金融科技主题ETF,159851,1.005,0.00%,825.24M,13:25:45
易方达科创板50场内联接基金,588080,1.389,+0.58%,821.44M,13:25:53
GF CSI A500,563800,1.133,+0.27%,778.33M,13:25:05
华夏上证50,510050,3.10,-0.26%,739.67M,13:25:50
华泰柏瑞沪深300,510300,4.600,-0.02%,719.60M,13:25:50
鹏华国证半导体芯片ETF,159813,1.065,+0.38%,707.93M,13:25:48
Huatai-PB CSI Photovoltaic Industry,515790,0.828,-0.36%,664.91M,13:25:51
GF CSI Brand Name Drug Industry,515120,0.740,+3.64%,654.37M,13:25:49
GF Hang Seng TECH (QDII),513380,0.708,+1.43%,638.12M,13:25:53
Hwabao WP CSI-HK Connect Internet,513770,0.600,+1.87%,632.62M,13:25:49
国泰中证全指通信设备,515880,2.698,+5.68%,603.64M,13:25:50
华安易富黄金,518880,7.627,+1.88%,581.91M,13:25:49
博时恒生科技ETF（QDII）,159742,0.789,+1.41%,572.24M,13:25:42
GF SSE STAR AI,588760,0.803,-0.86%,567.71M,13:25:47
广发中证海外中国互联网30（QDII-ETF）,159605,1.142,+2.79%,566.62M,13:25:39
